path,class
/content/data/fabric/train/chambray/jm_d1_s7_ze34b_za37h_245_zd91a_portrait.jpg,chambray
/content/data/fabric/train/knit/266458_imaterial.jpeg,knit
/content/data/fabric/train/taffeta/855930_imaterial.jpeg,taffeta
/content/data/fabric/train/gingham/s_620f7f88275e5534d13d9432.jpg,gingham
/content/data/fabric/train/organza/karllagerfeldorganzapuffsleevesweatblkl24.jpg,organza
/content/data/fabric/train/jersey/87fd1769-80a5-4762-89d5-078d8866ab85.jpg,jersey
/content/data/fabric/train/satin/843408_imaterial.jpeg,satin
/content/data/fabric/train/lawn/kamperett-ferou-cotton-lawn-blouse---white-20200903001649.jpg,lawn
/content/data/fabric/train/corduroy/sd_01_t53_1012t_em_x_ec_2.jpg,corduroy
/content/data/fabric/train/velvet/292456_imaterial.jpeg,velvet
/content/data/fabric/train/organza/22713_imaterial.jpeg,organza
/content/data/fabric/train/fleece/885931_l1_imaterial.jpeg,fleece
/content/data/fabric/train/denim/35376_source_1597571045.jpg,denim
/content/data/fabric/train/fleece/dsc09106_copy_300x.jpg,fleece
/content/data/fabric/train/jersey/81u+njfminl._ac_ul1500_.jpg,jersey
/content/data/fabric/train/chiffon/427500_imaterial.jpeg,chiffon
/content/data/fabric/train/chiffon/108768_imaterial.jpeg,chiffon
/content/data/fabric/train/organza/omj_saiqa_2020_jan-6888_300x.jpg,organza
/content/data/fabric/train/denim/323737_imaterial.jpeg,denim
/content/data/fabric/train/taffeta/b90554-135_a.jpg,taffeta
/content/data/fabric/train/fleece/3a3d463dbb77478a9b196f3acf338926.jpg,fleece
/content/data/fabric/train/fleece/53799_imaterial.jpeg,fleece
/content/data/fabric/train/lawn/khaadi-2021-wholesale-lawn-shirt-and-lawn-dupatta-collection-9.jpg,lawn
/content/data/fabric/train/fleece/667549_imaterial.jpeg,fleece
/content/data/fabric/train/lawn/il_fullxfull.1330007946_28d0.jpg,lawn
/content/data/fabric/train/knit/232560_imaterial.jpeg,knit
/content/data/fabric/train/faux_fur/524419_imaterial.jpeg,faux_fur
/content/data/fabric/train/flannel/173884_l1_imaterial.jpeg,flannel
/content/data/fabric/train/neoprene/205664_imaterial.jpeg,neoprene
/content/data/fabric/train/gingham/whistles-sophie-v-neck-cotton-tshirt-white-01.jpg,gingham
/content/data/fabric/train/faux_leather/nakd_margaux_dietz_zip_detailed_pu_pants_1018-008365-00021234.jpg,faux_leather
/content/data/fabric/train/denim/146745_imaterial.jpeg,denim
/content/data/fabric/train/knit/875377_imaterial.jpeg,knit
/content/data/fabric/train/chambray/mens-light-blue-chambray-shirt-mcchamlib_1.jpg,chambray
/content/data/fabric/train/chambray/chambray-dress-spring.jpg,chambray
/content/data/fabric/train/tulle/245185_imaterial.jpeg,tulle
/content/data/fabric/train/lace/47403_imaterial.jpeg,lace
/content/data/fabric/train/chambray/05_81113302_5.jpg,chambray
/content/data/fabric/train/chiffon/912415_imaterial.jpeg,chiffon
/content/data/fabric/train/chambray/20043___chambrayalt2_2000x.jpg,chambray
/content/data/fabric/train/faux_leather/6d5796ef4127afd167a5f37ed15e3d9d9c73647c.smedium.jpg,faux_leather
/content/data/fabric/train/satin/100861_imaterial.jpeg,satin
/content/data/fabric/train/fleece/premium-ultra-soft-hooded-sweatshirt-600x600.jpg,fleece
/content/data/fabric/train/chiffon/166164_imaterial.jpeg,chiffon
/content/data/fabric/train/faux_leather/image_324ff31a-0f80-42f1-8212-2ead41875610_530x@2x.jpg,faux_leather
/content/data/fabric/train/taffeta/551992_imaterial.jpeg,taffeta
/content/data/fabric/train/denim/949286_imaterial.jpeg,denim
/content/data/fabric/train/chambray/ih_chambray_snap_buttoned_shirt_1-680x1025.jpg,chambray
/content/data/fabric/train/lawn/1t6a3426-1024x819.jpg,lawn
/content/data/fabric/train/denim/dzz44882_mid%20blue_xl.jpg,denim
/content/data/fabric/train/taffeta/491113_imaterial.jpeg,taffeta
/content/data/fabric/train/chambray/daisy-street-cardigan-with-two-way-zip-in-rib-knit.jpg,chambray
/content/data/fabric/train/velvet/woman-man-autumn-winter-pajamas-set-sleepwear-couple-pajamas-gold-velvet-top-and-pants-pajamas-long-sleeve-homewear.jpg,velvet
/content/data/fabric/train/organza/627321_imaterial.jpeg,organza
/content/data/fabric/train/chambray/krb0527_300x.jpg,chambray
/content/data/fabric/train/plush/881346_imaterial.jpeg,plush
/content/data/fabric/train/tulle/611105_imaterial.jpeg,tulle
/content/data/fabric/train/denim/629661_imaterial.jpeg,denim
/content/data/fabric/train/lace/951328_imaterial.jpeg,lace
/content/data/fabric/train/fleece/smiling-girl-in-striped-fleece-blouse-jeans-and-hiking-boots-standing-khj523.jpg,fleece
/content/data/fabric/train/denim/109959_imaterial.jpeg,denim
